,,,,"hover variants","wheels","tracks","legs","Rails","propeller","thrusters",,
"Quick, unarmored","On Land","?","Bike","1","2","0","0","0","0","0",,
,,,"Motorbike","1","3","0","0","0","0","0",,
,,"?","Car","1","4","0","0","0","0","0",,
,,,"Bus","1","?","0","0","0","0","0",,
,,,"Truck","1","?","0","0","0","0","0",,"HVW Juggernaut"
"Engineering",,"Engineering",,"1","?","?","?","0","0","0",,
"Armored and Heavy",,"Tank",,"1","?","1","0","0","0","0",,
"Mechanopedes",,"Mechanopedes","Mechanimal","0","2-4","0","2-4","0","0","0",,
,,,"Runner","0","0","0","2","0","0","0",,
,,,"Walker","0","0","0","3-6","0","0","0",,
"On Rails",,"Train",,"1","0","0","0","1","0","1",,
"Propeller","On Air","Copter",,"0","0","0","0","0","1","0",,
"Thrusters",,"Jet",,"0","0","0","0","0","0","1",,
,"On Water","ships",,"0","0","0","0","0","1","0",,
,,"submarines",,"0","0","0","0","0","1","1",,
