"Architectural Code","Model Code","Model Changes","Equipment Updated","Model Name","","Prefix","Ship Subtype","","","class","C2S ABC Classification","","owner","Ship Name","","affiliation","","Participant?"
"AB","12","3","4","Cde","","Fgh","Ijk","","Lmn","Opq","E","","Rst","Uvw","","Xyz","","0"
"","","","","","","","","","","","","","","","","","",""
"CM","37","4","2","Comet","","","Freighter","","","","","","","","","","","0"
"MN","74","2","","Manta Ray","","","Fighter","","","","A","","Lynn","","","","","0"
"SN","FH","2","","Sunfish","","","Attacker","","","","","","","","","Pontusian","","0"
"WH","L3","1","","","","","Cruiser","","","Battle","A","","","Venator","","","","0"
"TL","NT","5","","","","Star","Dreadnought","","Nomadic","","B","","","Wandering City","","","","0"
"SS","20","9","4","Starlancer","","Light","Shuttle","","Explorer","Luxury","A","","Bima","Star Rupture","","Rebellion","","0"
"SS","30","","","Neocomet","","","Freighter","","","","B","","","","","","",""
"SQ","1D","1","1","","","Light","Dropcraft","","","","","","","","","","",""
"TH","24","7","","","","Star","Cruiser","","","","0","","Caspy","Aetheria","","","","1"
"ST","24","1","","","","Heavy","Yacht","","","","0","","Cirro","Astra","","","","1"
"CP","82","3","","","","","Vessel","","","Scouting","A","","Pan","Capybara","","","","1"
"CT","FH","9","","","","","Interceptor","","Unmanned","","A","","Suya","Catfish","","","","1"
"MSX","1","","","","","Star","Mobile Station","","","","","","Oxide","Oblivion Loom","","","","1"
"OXS","13","","","","","Light","Frigate","","","","","","Oxide","Vitreous Fang","","","","1"
