"super section","section","sub section","infra section","contains","type","only in","comparison","explanation"
"Pay loads","","","","","","","","The part of the spacecraft that is its reason for existance"
"","","",""," Crew and Passengers","","","",""
""," flight control station","","","","","","",""
"","","control deck","","","","","",""
"","","","","","cockpit","(-craft)","",""
"","","","","","bridge/ ?command deck","","","a room or platform of a ship, submarine, airship, or spaceship from which the ship can be commanded."
"","","","pilot house","","","","",""
"","","Combat Information Center","","","","(-ship),(military classes)",""," to provide the organized collection, processing, display, competent evaluation, and rapid dissemination of pertinent tactical information and intelligence to command and control stations."
"","","","","","","","",""
"","propulsion/power plant control station and maintenance center","","","","","","",""
"","","","","artificial gravity generator","","","",""
"","","","","Air filtration system and emergency replenishment systems.","","","",""
"","","","","Fire suppression","","","",""
"","","","","Damage control","","","",""
"","","","","funnels","","","chimneys",""
"","","engine room/ deck","","","","","","The control console for the reactor and the control console for the propellant pumps. Plus the controls to the remote waldoes/robot who fix things in the radioactive section. Damage control equipment and related items."
"","","","","","","","",""
""," astrogation station","","","","","","",""
"","","astrogation room","","","","","","Everything needed for interplanetary navigation. Instrument to determine the ship's current trajectory and calculating devices to plot new trajectories."
"","","","astrodome","","","","",""
"","Accomodation","","","","","","",""
"","","","","","cabin","(-craft)","",""
"","","",""," habitat module with life support equipment and consumables","","","","The pressurized part of the spaceraft where people live"
"","","","","life support room","","","","Controls for the atmosphere, temperature, drinking and washing water, recycling, environmental heat radiators, hydroponics (if any) and algae tanks (if any). "
"","","","crew deck","","","","",""
"","","mess deck","","","","","",""
"","","","kitchen & canteen","","","","kitchen",""
"","","","pantry","","","","food storage",""
"","","","laundromat","","","","",""
"","","","","","","","",""
"","","sickbay deck","","","","","clinic/hospital","medical supplies, diagnostic equipment, maybe a sick bed or two, maybe a suspended animation cryo-freeze to put a seriously ill or injured crewperson on ice until the ship can make it to port. On a military ship, the sick bay may have its own separate life support system."
"","","","","","","","",""
"","","emergency deck","","","","","",""
"","","","","life raft","","","","long endurance device carrying many castaways. Its purpose is to keep the castaways alive until they are found and saved by a rescue ship."
"","","","","life boat","","","","long endurance device carrying many castaways. Its purpose is to keep the castaways alive until they can travel to a safe haven with their rudimentary propulsion system."
