"Code","Superclass","class","subclass"
"A","Combat (Offense)","Military","Destroyer"
"","","","Cutter"
"","","Guard","Defender"
"","","","Vanguard"
"","","","Guard"
"","","Carrier","Arsenal"
"","","","Percheron"
"B","Civic","Colony",""
"","","",""
"","","Diplomacy",""
"","","Occupational","Fishing"
"","","","Fisher"
"","","",""
"C","Support","Guard","Rearguard" 
"","","Scientific","Discovery"
"","","","Exploration"
"","","","Research"
"","","","Observer"
"","","","Expedition"
"","","Infrastructure","Contruction"
"","","","Extraction"
"","","","Destruction"
"S","Special","celestial object","Nebula"
"","","animal-breeds",""
